"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"gaussian_identity",0,0,35.9821978591808,2.3637139695104,4.36812167353285,1.45738301491397,-71.9643957183617,4.7274279390208
"beta_logit",-0.406686678458637,1.51923839018976,35.5755111807222,1.10223252660957,1.80415091117402,0.223240161510626,-71.1510223614444,2.20446505321914
