"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"beta_logit",0,0,36.1508730008003,2.78274416051161,2.51024521640594,0.556709095674404,-72.3017460016006,5.56548832102322
"gaussian_identity",-3.72285274508627,1.35360007209906,32.428020255714,2.15353455347756,4.23153290277922,1.21726785392723,-64.8560405114281,4.30706910695513
