"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.0178903547200354,0.00372677614892643,0.0112186092716363,0.0248300659395845,1.00131599260629,2075.67109206937,1766.83265545527
"groupE.coli",-0.00557607123622363,0.00371677860927043,-0.0132275085313253,0.00172178876492962,1.00148424675926,3472.45051868151,2234.24797452451
